datetime,date,AOD_GOES,AOD_AERONET
2024-08-20 10:10:24,2024-08-20,1.258864164352417,0.2295259445244304
2024-08-20 10:20:47,2024-08-20,0.4679202437400818,0.2314783960914303
2024-08-20 10:39:20,2024-08-20,0.3902437686920166,0.2321101046317578
2024-08-20 10:49:15,2024-08-20,0.357878565788269,0.2330070217467603
2024-08-20 11:39:43,2024-08-20,0.3173450231552124,0.2557574483586767
2024-08-20 17:20:27,2024-08-20,0.4917318224906921,0.3118773926323381
2024-08-20 17:30:05,2024-08-20,0.485798180103302,0.3022805910907819
2024-08-20 18:20:24,2024-08-20,0.4225319325923919,0.3304775289630587
2024-08-20 18:29:58,2024-08-20,0.3782224059104919,0.3751916141670579
2024-08-20 19:19:28,2024-08-20,0.4753950834274292,0.3418087166069272
2024-08-20 19:40:43,2024-08-20,0.3241263031959533,0.352950105056283
2024-08-20 20:00:14,2024-08-20,0.4279261231422424,0.3685540604786332
2024-08-21 11:30:56,2024-08-21,0.465069055557251,0.4177616908002096
2024-08-21 11:40:56,2024-08-21,0.4372503757476806,0.3752853876981858
2024-08-21 11:50:56,2024-08-21,0.4498882293701172,0.4011465277882413
2024-08-21 12:40:56,2024-08-21,0.4085840582847595,0.3521589899383915
2024-08-21 12:50:57,2024-08-21,0.3824607133865356,0.3564837171167163
2024-08-21 13:00:57,2024-08-21,0.3828460276126861,0.3559196826397232
2024-08-21 13:10:57,2024-08-21,0.3590344786643982,0.3470875076686675
2024-08-21 13:40:57,2024-08-21,0.3592656552791595,0.3525852954886194
2024-08-21 13:50:57,2024-08-21,0.3532549738883972,0.3218717790812291
2024-08-21 14:00:57,2024-08-21,0.3623480498790741,0.3276204864822887
2024-08-21 14:10:58,2024-08-21,0.3817671835422516,0.2957821595756249
2024-08-21 14:30:58,2024-08-21,0.3726741075515747,0.2986152990227959
2024-08-21 14:40:58,2024-08-21,0.3762959241867065,0.3025061931002314
2024-08-21 14:50:58,2024-08-21,0.3843872249126434,0.29904980542944
2024-08-21 15:00:58,2024-08-21,0.3969480097293854,0.2929080010136019
2024-08-21 15:10:59,2024-08-21,0.4076593518257141,0.2865616806607525
2024-08-21 15:30:58,2024-08-21,0.4192183315753937,0.2908465002360091
2024-08-21 15:40:58,2024-08-21,0.433474451303482,0.3048008672911845
2024-08-21 15:50:58,2024-08-21,0.4523541331291199,0.2927506583481469
2024-08-21 16:00:58,2024-08-21,0.4448022544384002,0.289425360255613
2024-08-21 16:10:58,2024-08-21,0.3617315888404846,0.2983120950770092
2024-08-21 16:30:57,2024-08-21,0.4626801609992981,0.2719454343121524
2024-08-21 16:40:57,2024-08-21,0.4392539262771606,0.293108095076006
2024-08-21 16:50:57,2024-08-21,0.4441087245941162,0.3358100169593966
2024-08-21 17:00:57,2024-08-21,0.4761656522750854,0.306720726313648
2024-08-21 17:10:57,2024-08-21,0.4954307079315185,0.2867405644565309
2024-08-21 17:30:57,2024-08-21,0.4872623085975647,0.3636648127957932
2024-08-21 17:40:57,2024-08-21,0.4857211112976074,0.3541639412670105
2024-08-21 17:50:56,2024-08-21,0.4312396943569183,0.3794721329778548
2024-08-21 18:00:56,2024-08-21,0.4321644306182861,0.4038904215755341
2024-08-21 18:10:56,2024-08-21,0.4240731298923492,0.4139239918687974
2024-08-21 18:20:11,2024-08-21,0.3461654484272003,0.4153737451974743
2024-08-21 18:29:47,2024-08-21,0.3325258493423462,0.4374587294824316
2024-08-21 18:41:02,2024-08-21,0.3415418565273285,0.4449102444539379
2024-08-21 18:50:37,2024-08-21,0.3066336810588836,0.4629769820691768
2024-08-21 19:00:56,2024-08-21,0.2737290561199188,0.4551981007029658
2024-08-21 19:10:56,2024-08-21,0.3655075132846832,0.4397223375993741
2024-08-21 19:20:02,2024-08-21,0.3769894540309906,0.4553390136977625
2024-08-21 19:29:16,2024-08-21,0.3702081739902496,0.4394933697681892
2024-08-21 19:40:51,2024-08-21,0.3352229297161102,0.4191793573863535
2024-08-21 20:00:56,2024-08-21,0.1232308894395828,0.3825687574789758
2024-08-21 20:09:56,2024-08-21,0.2528457939624786,0.3659706559327027
2024-08-22 10:29:47,2024-08-22,0.4028045535087585,0.2733457253071716
2024-08-22 10:49:49,2024-08-22,0.371441125869751,0.2889953549886635
2024-08-22 11:00:41,2024-08-22,0.3519449532032013,0.3139829870080673
2024-08-22 11:30:41,2024-08-22,0.2685660421848297,0.3028496158628897
