datetime,date,season,AOD_GOES,AOD_AERONET
2024-08-28 21:03:22,2024-08-28,JJA,0.1115177720785141,0.3683656350936441
2024-09-10 18:01:07,2024-09-10,SON,2.527117729187012,2.346211225316758
2024-09-12 18:06:11,2024-09-12,SON,4.359065055847168,3.210072456639381
2024-09-13 18:06:09,2024-09-13,SON,2.955571413040161,2.116210892881009
2024-09-14 18:01:14,2024-09-14,SON,3.130420446395874,2.988360308784753
2024-09-15 18:01:14,2024-09-15,SON,2.571889638900757,2.43481135240086
2024-09-16 18:01:13,2024-09-16,SON,4.409616470336914,3.655578814604668
2024-09-18 18:01:15,2024-09-18,SON,3.428565502166748,3.374024095440639
2024-09-19 18:01:14,2024-09-19,SON,0.8842754364013672,0.677031894876939
2024-09-26 17:01:19,2024-09-26,SON,0.9330544471740724,0.975289001605506
